company_size,pricing_views,email_opens,industry,title,converted
922,0,8,Finance,Director,0
1153,1,2,Manufacturing,CEO,0
270,0,2,Finance,Director,0
4149,9,0,Manufacturing,Director,1
4474,6,7,Retail,Coordinator,0
2288,0,5,Retail,VP,0
2286,2,6,Healthcare,Manager,0
769,6,3,Healthcare,VP,0
4955,4,1,Retail,Coordinator,0
1032,6,2,Manufacturing,VP,0
2972,9,6,SaaS,Manager,0
1876,4,2,Finance,Manager,0
3123,4,14,Healthcare,Director,1
3042,5,6,Healthcare,Manager,0
5000,10,5,Manufacturing,Director,1
1348,7,12,Healthcare,Coordinator,1
1809,10,10,SaaS,Director,1
272,5,12,Healthcare,Manager,0
1738,9,10,Finance,CEO,1
3251,10,14,Finance,VP,1
1153,3,8,Manufacturing,CEO,1
4790,6,11,Finance,Director,1
4184,7,2,SaaS,Manager,0
1262,10,5,Retail,Coordinator,0
530,6,12,Manufacturing,CEO,1
4344,4,0,SaaS,Coordinator,0
2195,10,10,SaaS,VP,1
3571,2,14,SaaS,VP,1
4110,2,3,Healthcare,Coordinator,0
4998,3,4,Healthcare,Director,0
4428,8,0,Manufacturing,VP,1
4012,0,3,Healthcare,VP,0
1971,0,7,Manufacturing,Manager,0
711,7,2,Manufacturing,Director,1
1061,10,15,Manufacturing,Director,1
2181,8,13,Finance,Coordinator,1
1657,4,12,Healthcare,CEO,1
4249,7,3,Finance,Director,1
534,5,0,Manufacturing,Coordinator,0
1895,9,7,SaaS,Manager,0
492,3,2,SaaS,VP,0
590,8,7,Healthcare,CEO,1
1765,8,4,Manufacturing,Coordinator,0
3882,3,15,Retail,Director,1
782,1,13,Healthcare,CEO,1
3377,7,1,SaaS,Manager,0
3308,5,3,Finance,Director,0
1568,8,14,Finance,CEO,1
1513,4,14,Finance,Manager,0
3640,8,3,SaaS,Coordinator,0
130,1,7,Finance,CEO,0
3988,7,6,Retail,Manager,0
1358,6,0,Retail,VP,0
3737,4,13,Manufacturing,CEO,1
1278,3,9,Finance,Manager,0
4754,8,1,Healthcare,Manager,0
420,9,15,Manufacturing,Coordinator,1
1299,0,2,Finance,Manager,0
4884,1,7,Retail,Manager,0
4676,3,1,Manufacturing,Manager,0
3444,10,10,Healthcare,Director,1
2583,3,8,Retail,Director,1
2467,7,10,SaaS,Manager,0
3764,9,3,SaaS,Coordinator,0
1756,8,8,Finance,VP,1
573,3,11,Healthcare,Director,1
3599,8,9,Manufacturing,Coordinator,1
74,10,9,SaaS,Director,1
2176,1,3,Manufacturing,Director,0
2241,4,6,Healthcare,Director,1
2172,8,15,Healthcare,Manager,1
766,10,13,Healthcare,Manager,1
39,5,4,Healthcare,Director,0
3629,8,13,Manufacturing,Manager,1
926,1,4,Manufacturing,Manager,0
3034,9,4,Retail,Director,1
352,4,11,SaaS,VP,1
1730,10,7,SaaS,VP,1
4596,6,4,Finance,Director,1
1460,6,0,Finance,VP,0
3382,10,7,Healthcare,Director,1
895,6,1,Retail,Director,0
1644,7,11,Healthcare,Director,1
1836,0,6,Retail,VP,0
2292,1,8,Healthcare,Coordinator,0
3284,10,10,SaaS,Manager,1
2149,2,8,SaaS,Manager,0
4897,6,11,Healthcare,CEO,1
4976,8,3,Retail,Coordinator,0
1567,4,1,Retail,Manager,0
4269,8,6,Healthcare,CEO,1
583,10,10,Manufacturing,VP,1
1030,4,9,Retail,VP,1
3306,4,4,Finance,CEO,0
3115,10,5,Manufacturing,Coordinator,0
2475,6,0,Healthcare,VP,0
1731,6,10,Retail,CEO,1
3632,10,6,Manufacturing,CEO,1
1400,10,2,Healthcare,Coordinator,0
2755,1,7,Healthcare,Director,0
1641,2,0,SaaS,Director,0
3902,9,2,Retail,CEO,1
4725,3,12,Retail,CEO,1
2008,2,0,SaaS,CEO,0
1802,2,14,SaaS,Coordinator,0
2051,1,14,Finance,CEO,1
4361,8,10,Retail,Coordinator,1
4145,6,14,Finance,CEO,1
3696,4,7,Healthcare,Coordinator,0
3979,10,7,Healthcare,CEO,1
644,4,7,Healthcare,VP,1
2629,8,2,Finance,Director,1
1904,6,4,Finance,Manager,0
3408,6,10,Manufacturing,CEO,1
3416,0,6,Retail,CEO,0
4794,0,12,Retail,Manager,0
2891,4,12,Retail,Coordinator,0
4483,9,7,Retail,Director,1
2245,6,15,SaaS,CEO,1
2763,10,12,Finance,CEO,1
1055,9,0,Retail,Coordinator,0
4633,10,0,SaaS,CEO,1
1121,7,5,SaaS,VP,1
3115,5,6,Retail,VP,1
2774,6,8,Retail,VP,1
680,7,0,Manufacturing,Manager,0
2876,3,2,SaaS,Manager,0
2035,3,0,Manufacturing,Director,0
1964,2,15,SaaS,Coordinator,0
1795,7,8,Healthcare,Director,1
4973,9,3,Finance,VP,1
895,9,0,Healthcare,Coordinator,0
3084,6,6,SaaS,Coordinator,0
1999,1,9,Manufacturing,Manager,0
4646,0,11,Manufacturing,CEO,1
3045,1,10,SaaS,CEO,1
4025,1,13,Healthcare,CEO,1
1263,6,5,Manufacturing,VP,1
4418,7,14,Retail,Coordinator,1
2208,5,7,SaaS,VP,1
3702,3,14,Manufacturing,Coordinator,0
3114,5,0,Retail,VP,0
1499,7,6,Healthcare,VP,1
2798,4,8,Manufacturing,Manager,0
4242,3,2,Finance,CEO,0
4012,8,7,Retail,CEO,1
3681,0,2,Healthcare,Director,0
3322,3,9,Manufacturing,VP,1
3886,8,11,Retail,Coordinator,1
2719,5,14,Healthcare,VP,1
2069,3,3,Finance,VP,0
989,8,5,Finance,Director,1
3976,4,9,SaaS,Director,1
2436,3,11,Finance,VP,1
125,8,4,Healthcare,Manager,0
456,8,9,Finance,CEO,1
850,0,9,Retail,CEO,0
3618,5,5,SaaS,VP,1
3923,1,2,Retail,CEO,0
616,9,1,Finance,Director,1
4620,4,2,Finance,Manager,0
4581,6,7,Manufacturing,CEO,1
3700,7,9,Manufacturing,CEO,1
2511,9,1,Manufacturing,Manager,0
1712,10,6,Healthcare,Manager,0
1296,3,5,Manufacturing,Manager,0
1292,0,13,Retail,Coordinator,0
3859,4,1,Finance,VP,0
2326,7,2,Finance,VP,1
4841,10,6,Retail,Manager,1
4471,3,4,Healthcare,Director,0
594,0,5,Healthcare,Coordinator,0
4672,4,14,SaaS,CEO,1
2501,6,8,Manufacturing,Coordinator,0
4055,7,2,Manufacturing,Manager,0
3549,5,8,SaaS,Manager,0
1885,10,0,Healthcare,Coordinator,0
339,2,15,Manufacturing,CEO,1
2288,2,13,Retail,Manager,0
3860,5,13,Healthcare,VP,1
866,2,10,Retail,CEO,1
2371,10,12,Manufacturing,Manager,1
3735,1,10,Healthcare,VP,1
959,6,0,Manufacturing,CEO,0
3395,0,6,Manufacturing,VP,0
4093,10,14,SaaS,Director,1
2197,8,4,Healthcare,CEO,1
3980,1,0,Manufacturing,Director,0
1307,4,0,Manufacturing,CEO,0
773,3,3,Retail,Manager,0
1271,7,9,Manufacturing,VP,1
3413,7,15,Finance,CEO,1
4525,2,12,Finance,Coordinator,0
4173,2,2,Healthcare,CEO,0
2794,8,8,SaaS,VP,1
2455,9,15,Finance,CEO,1
4422,7,11,Healthcare,Coordinator,1
4461,6,14,Healthcare,Director,1
1966,9,12,Finance,CEO,1
367,5,15,Retail,CEO,1
1256,7,1,Finance,Coordinator,0
4844,5,3,Retail,Manager,0
4318,7,0,Finance,CEO,1
1274,1,15,Healthcare,VP,1
3266,10,2,Healthcare,Coordinator,0
3123,5,15,Manufacturing,Manager,1
570,3,9,Finance,Manager,0
3565,1,3,Retail,Director,0
2463,0,1,Healthcare,Manager,0
2413,5,11,Retail,Director,1
2010,8,13,Manufacturing,Director,1
1402,2,2,Manufacturing,CEO,0
1982,7,4,Finance,CEO,1
2090,7,8,SaaS,CEO,1
2366,10,5,SaaS,CEO,1
2840,9,9,Retail,VP,1
3752,4,6,Retail,CEO,1
883,3,12,Manufacturing,VP,1
4718,4,9,SaaS,CEO,1
2258,0,1,Manufacturing,CEO,0
2354,3,11,Finance,Director,1
2063,10,4,SaaS,Manager,0
2540,7,1,Manufacturing,VP,1
1086,1,9,Healthcare,CEO,0
1448,3,4,Manufacturing,VP,0
4358,8,8,Finance,VP,1
3957,4,10,SaaS,CEO,1
626,2,7,Retail,Coordinator,0
3006,1,12,SaaS,VP,1
4405,1,14,Healthcare,VP,1
4798,6,11,SaaS,Director,1
3872,0,10,Manufacturing,Director,0
527,10,14,Healthcare,CEO,1
965,2,1,SaaS,VP,0
4045,1,3,Finance,Coordinator,0
1121,6,14,Healthcare,Coordinator,1
3443,9,4,Retail,Manager,0
4018,9,13,Healthcare,Manager,1
3045,3,14,Retail,Director,1
2981,1,11,Manufacturing,VP,1
506,6,8,Finance,Manager,0
3735,1,6,Manufacturing,Manager,0
424,5,7,Finance,Coordinator,0
1691,1,6,Manufacturing,Director,0
1918,5,4,Manufacturing,Manager,0
2281,2,4,Manufacturing,VP,0
1439,1,0,Finance,Manager,0
2944,3,10,SaaS,Director,1
2183,0,4,Retail,Coordinator,0
941,1,15,Retail,VP,1
4214,9,3,Retail,Coordinator,0
1824,9,1,Manufacturing,VP,1
3762,10,0,SaaS,CEO,1
3300,6,3,Retail,CEO,1
612,1,10,Manufacturing,Director,0
548,2,8,Manufacturing,Coordinator,0
4502,5,12,Manufacturing,Coordinator,0
2425,7,13,SaaS,Manager,1
4526,3,13,Retail,Director,1
3399,5,14,Retail,CEO,1
788,5,13,Healthcare,VP,1
3076,2,15,SaaS,Manager,0
709,1,13,SaaS,VP,1
1075,8,1,Manufacturing,Coordinator,0
4611,5,3,Retail,VP,1
3474,0,9,Manufacturing,VP,0
2890,1,6,Finance,CEO,0
1847,1,11,Manufacturing,VP,1
951,4,7,Retail,Coordinator,0
4570,0,8,SaaS,Director,0
2248,4,10,Healthcare,Manager,0
1496,2,12,SaaS,Director,1
261,1,6,Retail,CEO,0
3726,5,5,Healthcare,VP,1
2667,9,2,SaaS,Director,1
1299,9,1,SaaS,VP,1
3639,10,13,Retail,Coordinator,1
3631,6,8,Finance,Coordinator,0
942,5,13,SaaS,VP,1
4868,7,9,SaaS,Director,1
3247,9,1,SaaS,Director,1
2479,3,4,Healthcare,VP,0
2697,1,0,Retail,CEO,0
1449,2,12,Manufacturing,Director,1
4108,8,11,SaaS,CEO,1
